,ic
0,0.042261972111075685
1,0.1785642038421845
2,0.06283408250102003
3,0.06860284512286693
4,0.1711050994832972
5,0.05646529999279977
6,-0.0659884727608115
7,0.027688346242332604
8,-0.12704306771310134
9,0.034453141875559305
