,ic
0,0.11203992943505013
1,0.13043844929219914
2,0.12714254980422532
3,0.023756292758487157
4,0.09650359278860635
5,0.16983778667010888
6,0.06249472914246375
7,0.07627554752377264
8,0.08934555311733575
9,0.14957359838216944
